,2020-CHINA MINSHENG BANKING-Annual,max
Biodiversity and Land Use,17,17
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,11,11
Financing Environmental Impact,46,46
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,2,2
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,12,12
Accounting,11,11
Board,1,1
Business Ethics,129,129
Ownership and Control,11,11
Pay,0,0
Tax Transparency,6,6
Access to Communications,0,0
Access to Finance,10,10
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,126,126
Controversial Sourcing,0,0
Financial Product Safety,4,4
Health and Demographic Risk,2,2
Health and Safety,121,121
Human Capital Development,33,33
Labor Management,493,493
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,73,73
Product Safety and Quality,164,164
Responsible Investment,6,6
Supply Chain Labor Standards,118,118
Not ESG,2440,2440
