,2020-CHINA NATIONAL BUILDING MATERIAL GROUP-ESG,2020-CHINA NATIONAL BUILDING MATERIAL GROUP-Annual,max
Biodiversity and Land Use,60,31,60
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,2,2
Financing Environmental Impact,0,9,9
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,2,2
Packaging Material and Waste,86,197,197
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,12,12
Toxic Emissions and Waste,2,2,2
Water Stress,35,14,35
Accounting,0,2,2
Board,0,1,1
Business Ethics,13,24,24
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,1,4,4
Access to Communications,0,0,0
Access to Finance,0,3,3
Access to Health Care,0,0,0
Chemical Safety,0,2,2
Community Relations,22,61,61
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,0,0
Health and Safety,34,43,43
Human Capital Development,3,20,20
Labor Management,71,218,218
Opportunities in Nutrition and Health,1,5,5
Privacy and Data Security,10,12,12
Product Safety and Quality,58,47,58
Responsible Investment,0,0,0
Supply Chain Labor Standards,25,54,54
Not ESG,59,1543,1543
