,2020-CHINA NATIONAL OFFSHORE OIL-Annual,2020-CHINA NATIONAL OFFSHORE OIL-ESG,max
Biodiversity and Land Use,68,101,101
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,0,1
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,5,4,5
Packaging Material and Waste,13,27,27
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,2,0,2
Water Stress,219,87,219
Accounting,0,0,0
Board,0,0,0
Business Ethics,54,46,54
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,4,0,4
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,3,0,3
Community Relations,50,47,50
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,2,0,2
Health and Safety,56,92,92
Human Capital Development,16,21,21
Labor Management,219,114,219
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,25,21,25
Product Safety and Quality,65,81,81
Responsible Investment,1,0,1
Supply Chain Labor Standards,50,46,50
Not ESG,1195,117,1195
