,2020-CHINA RAILWAY ENGINEERING GROUP-CSR,2020-CHINA RAILWAY ENGINEERING GROUP-Annual,max
Biodiversity and Land Use,38,58,58
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,8,8
Financing Environmental Impact,0,4,4
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,13,15,15
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,5,5
Toxic Emissions and Waste,4,1,4
Water Stress,22,54,54
Accounting,0,0,0
Board,0,0,0
Business Ethics,13,40,40
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,4,4
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,47,122,122
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,0,0
Health and Safety,48,45,48
Human Capital Development,8,23,23
Labor Management,140,263,263
Opportunities in Nutrition and Health,0,1,1
Privacy and Data Security,14,21,21
Product Safety and Quality,104,47,104
Responsible Investment,0,1,1
Supply Chain Labor Standards,31,58,58
Not ESG,136,1358,1358
