,2020-CHINA STATE CONSTRUCTION ENGINEERING-Annual,max
Biodiversity and Land Use,60,60
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,11,11
Financing Environmental Impact,311,311
Opportunities in Clean Tech,1,1
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,41,41
Product Carbon Footprint,0,0
Raw Material Sourcing,35,35
Toxic Emissions and Waste,0,0
Water Stress,87,87
Accounting,1,1
Board,0,0
Business Ethics,28,28
Ownership and Control,6,6
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,2,2
Access to Health Care,0,0
Chemical Safety,5,5
Community Relations,136,136
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,3,3
Health and Safety,56,56
Human Capital Development,36,36
Labor Management,504,504
Opportunities in Nutrition and Health,10,10
Privacy and Data Security,17,17
Product Safety and Quality,96,96
Responsible Investment,29,29
Supply Chain Labor Standards,68,68
Not ESG,1926,1926
