,2020-CHINA VANKE-ESG,2020-CHINA VANKE-Annual,max
Biodiversity and Land Use,63,73,73
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,62,62
Financing Environmental Impact,0,9,9
Opportunities in Clean Tech,0,17,17
Opportunities in Green Building,0,3,3
Opportunities in Renewable Energy,5,3,5
Packaging Material and Waste,21,16,21
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,21,21
Toxic Emissions and Waste,0,3,3
Water Stress,25,15,25
Accounting,0,2,2
Board,0,1,1
Business Ethics,18,41,41
Ownership and Control,0,5,5
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,20,20
Community Relations,13,135,135
Controversial Sourcing,0,1,1
Financial Product Safety,0,3,3
Health and Demographic Risk,0,0,0
Health and Safety,27,28,28
Human Capital Development,8,20,20
Labor Management,58,331,331
Opportunities in Nutrition and Health,0,4,4
Privacy and Data Security,9,24,24
Product Safety and Quality,6,45,45
Responsible Investment,0,9,9
Supply Chain Labor Standards,11,48,48
Not ESG,31,1356,1356
