,2020-CHUBB-10K,2020-CHUBB-Annual,max
Biodiversity and Land Use,69,102,102
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,7,2,7
Financing Environmental Impact,12,25,25
Opportunities in Clean Tech,2,1,2
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,17,20,20
Product Carbon Footprint,0,0,0
Raw Material Sourcing,4,3,4
Toxic Emissions and Waste,0,0,0
Water Stress,20,28,28
Accounting,5,5,5
Board,4,0,4
Business Ethics,92,116,116
Ownership and Control,3,8,8
Pay,0,1,1
Tax Transparency,9,22,22
Access to Communications,1,1,1
Access to Finance,3,3,3
Access to Health Care,0,0,0
Chemical Safety,3,7,7
Community Relations,184,237,237
Controversial Sourcing,0,0,0
Financial Product Safety,2,8,8
Health and Demographic Risk,2,5,5
Health and Safety,93,131,131
Human Capital Development,125,140,140
Labor Management,162,221,221
Opportunities in Nutrition and Health,37,25,37
Privacy and Data Security,68,95,95
Product Safety and Quality,78,108,108
Responsible Investment,1,3,3
Supply Chain Labor Standards,186,216,216
Not ESG,2597,2522,2597
