,2020-CHUBU ELECTRIC POWER-Annual,max
Biodiversity and Land Use,18,18
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,3,3
Financing Environmental Impact,4,4
Opportunities in Clean Tech,3,3
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,55,55
Packaging Material and Waste,14,14
Product Carbon Footprint,1,1
Raw Material Sourcing,4,4
Toxic Emissions and Waste,0,0
Water Stress,98,98
Accounting,0,0
Board,0,0
Business Ethics,24,24
Ownership and Control,1,1
Pay,0,0
Tax Transparency,7,7
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,23,23
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,69,69
Human Capital Development,13,13
Labor Management,95,95
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,15,15
Product Safety and Quality,23,23
Responsible Investment,4,4
Supply Chain Labor Standards,17,17
Not ESG,240,240
