,2020-CIGNA-Annual,max
Biodiversity and Land Use,3,3
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,10,10
Financing Environmental Impact,15,15
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,11,11
Product Carbon Footprint,0,0
Raw Material Sourcing,7,7
Toxic Emissions and Waste,0,0
Water Stress,1,1
Accounting,5,5
Board,0,0
Business Ethics,145,145
Ownership and Control,2,2
Pay,0,0
Tax Transparency,8,8
Access to Communications,0,0
Access to Finance,5,5
Access to Health Care,3,3
Chemical Safety,1,1
Community Relations,197,197
Controversial Sourcing,7,7
Financial Product Safety,8,8
Health and Demographic Risk,5,5
Health and Safety,367,367
Human Capital Development,168,168
Labor Management,143,143
Opportunities in Nutrition and Health,39,39
Privacy and Data Security,116,116
Product Safety and Quality,84,84
Responsible Investment,1,1
Supply Chain Labor Standards,168,168
Not ESG,1371,1371
