,2020-CISCO SYSTEMS-CSR,2020-CISCO SYSTEMS-Annual,2020-CISCO SYSTEMS-10K,max
Biodiversity and Land Use,74,21,14,74
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,28,4,28
Financing Environmental Impact,0,27,10,27
Opportunities in Clean Tech,0,3,3,3
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,0,1,1
Packaging Material and Waste,132,36,28,132
Product Carbon Footprint,0,0,1,1
Raw Material Sourcing,0,4,3,4
Toxic Emissions and Waste,0,0,0,0
Water Stress,72,9,7,72
Accounting,0,6,3,6
Board,0,1,5,5
Business Ethics,56,51,103,103
Ownership and Control,0,0,3,3
Pay,1,0,0,1
Tax Transparency,0,8,27,27
Access to Communications,0,3,6,6
Access to Finance,0,0,2,2
Access to Health Care,0,0,0,0
Chemical Safety,0,4,4,4
Community Relations,258,96,96,258
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,5,5,5
Health and Demographic Risk,0,0,2,2
Health and Safety,74,16,16,74
Human Capital Development,165,53,78,165
Labor Management,132,97,161,161
Opportunities in Nutrition and Health,0,19,15,19
Privacy and Data Security,173,263,285,285
Product Safety and Quality,94,113,122,122
Responsible Investment,1,0,2,2
Supply Chain Labor Standards,136,174,175,175
Not ESG,141,1002,1771,1771
