,2020-CITIGROUP-ESG,2020-CITIGROUP-Annual,max
Biodiversity and Land Use,245,38,245
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,0,3,3
Financing Environmental Impact,9,76,76
Opportunities in Clean Tech,2,1,2
Opportunities in Green Building,2,0,2
Opportunities in Renewable Energy,12,1,12
Packaging Material and Waste,35,9,35
Product Carbon Footprint,2,0,2
Raw Material Sourcing,2,1,2
Toxic Emissions and Waste,4,0,4
Water Stress,136,19,136
Accounting,0,13,13
Board,0,2,2
Business Ethics,168,156,168
Ownership and Control,0,13,13
Pay,0,0,0
Tax Transparency,2,21,21
Access to Communications,0,3,3
Access to Finance,0,70,70
Access to Health Care,0,0,0
Chemical Safety,0,2,2
Community Relations,400,301,400
Controversial Sourcing,0,4,4
Financial Product Safety,0,0,0
Health and Demographic Risk,0,3,3
Health and Safety,57,72,72
Human Capital Development,172,159,172
Labor Management,102,173,173
Opportunities in Nutrition and Health,1,25,25
Privacy and Data Security,67,89,89
Product Safety and Quality,28,64,64
Responsible Investment,1,5,5
Supply Chain Labor Standards,147,206,206
Not ESG,241,3131,3131
