,2020-CJ CORP-Sustainability,max
Biodiversity and Land Use,141,141
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,78,78
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,43,43
Accounting,0,0
Board,0,0
Business Ethics,29,29
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,63,63
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,65,65
Human Capital Development,34,34
Labor Management,127,127
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,28,28
Product Safety and Quality,77,77
Responsible Investment,0,0
Supply Chain Labor Standards,106,106
Not ESG,125,125
