,2020-CK HUTCHISON HOLDINGS-Annual,max
Biodiversity and Land Use,44,44
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,4,4
Financing Environmental Impact,10,10
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,7,7
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,30,30
Accounting,0,0
Board,1,1
Business Ethics,72,72
Ownership and Control,1,1
Pay,0,0
Tax Transparency,5,5
Access to Communications,3,3
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,104,104
Controversial Sourcing,0,0
Financial Product Safety,5,5
Health and Demographic Risk,4,4
Health and Safety,68,68
Human Capital Development,36,36
Labor Management,164,164
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,46,46
Product Safety and Quality,34,34
Responsible Investment,0,0
Supply Chain Labor Standards,59,59
Not ESG,1724,1724
