,2020-COMPASS GROUP-Annual,2020-COMPASS GROUP-Sustainability,max
Biodiversity and Land Use,99,111,111
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,22,0,22
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,46,50,50
Product Carbon Footprint,3,1,3
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,1,0,1
Water Stress,17,15,17
Accounting,0,0,0
Board,1,0,1
Business Ethics,168,29,168
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,7,0,7
Access to Communications,1,0,1
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,314,112,314
Controversial Sourcing,0,0,0
Financial Product Safety,4,0,4
Health and Demographic Risk,2,0,2
Health and Safety,221,74,221
Human Capital Development,209,48,209
Labor Management,433,65,433
Opportunities in Nutrition and Health,9,6,9
Privacy and Data Security,58,12,58
Product Safety and Quality,99,26,99
Responsible Investment,1,0,1
Supply Chain Labor Standards,246,92,246
Not ESG,2124,43,2124
