,2020-CONOCOPHILLIPS-Sustainability,2020-CONOCOPHILLIPS-Annual,max
Biodiversity and Land Use,631,25,631
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,18,18
Financing Environmental Impact,0,25,25
Opportunities in Clean Tech,0,13,13
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,5,29,29
Packaging Material and Waste,73,2,73
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,16,16
Toxic Emissions and Waste,1,8,8
Water Stress,435,35,435
Accounting,0,15,15
Board,0,1,1
Business Ethics,111,18,111
Ownership and Control,0,12,12
Pay,0,0,0
Tax Transparency,0,12,12
Access to Communications,0,0,0
Access to Finance,0,16,16
Access to Health Care,0,1,1
Chemical Safety,2,8,8
Community Relations,277,18,277
Controversial Sourcing,0,0,0
Financial Product Safety,0,3,3
Health and Demographic Risk,3,3,3
Health and Safety,144,13,144
Human Capital Development,105,22,105
Labor Management,61,22,61
Opportunities in Nutrition and Health,2,27,27
Privacy and Data Security,72,6,72
Product Safety and Quality,57,2,57
Responsible Investment,0,50,50
Supply Chain Labor Standards,123,10,123
Not ESG,256,158,256
