,2020-CONTINENTAL-Annual,2020-CONTINENTAL-Sustainability,max
Biodiversity and Land Use,83,134,134
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,23,15,23
Financing Environmental Impact,10,1,10
Opportunities in Clean Tech,11,3,11
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,3,3
Packaging Material and Waste,159,172,172
Product Carbon Footprint,1,2,2
Raw Material Sourcing,6,5,6
Toxic Emissions and Waste,1,1,1
Water Stress,15,41,41
Accounting,4,0,4
Board,0,0,0
Business Ethics,49,66,66
Ownership and Control,5,2,5
Pay,0,0,0
Tax Transparency,13,6,13
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,68,58,68
Controversial Sourcing,1,1,1
Financial Product Safety,11,2,11
Health and Demographic Risk,3,1,3
Health and Safety,57,46,57
Human Capital Development,64,48,64
Labor Management,284,227,284
Opportunities in Nutrition and Health,23,5,23
Privacy and Data Security,43,38,43
Product Safety and Quality,223,211,223
Responsible Investment,2,1,2
Supply Chain Labor Standards,105,90,105
Not ESG,2643,978,2643
