,2020-COSTCO WHOLESALE-10K,2020-COSTCO WHOLESALE-Annual,max
Biodiversity and Land Use,18,18,18
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,10,10,10
Financing Environmental Impact,5,5,5
Opportunities in Clean Tech,2,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,25,25,25
Product Carbon Footprint,0,0,0
Raw Material Sourcing,3,3,3
Toxic Emissions and Waste,0,0,0
Water Stress,3,3,3
Accounting,4,4,4
Board,0,0,0
Business Ethics,39,39,39
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,4,4,4
Access to Communications,0,0,0
Access to Finance,2,2,2
Access to Health Care,0,0,0
Chemical Safety,2,2,2
Community Relations,70,70,70
Controversial Sourcing,1,1,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,25,25,25
Human Capital Development,38,38,38
Labor Management,98,98,98
Opportunities in Nutrition and Health,23,23,23
Privacy and Data Security,45,45,45
Product Safety and Quality,37,37,37
Responsible Investment,0,0,0
Supply Chain Labor Standards,178,178,178
Not ESG,572,572,572
