,2020-COUNTRY GARDEN HOLDINGS-Annual,2020-COUNTRY GARDEN HOLDINGS-Sustainability,max
Biodiversity and Land Use,309,212,309
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,1,1
Financing Environmental Impact,9,1,9
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,3,3
Packaging Material and Waste,4,48,48
Product Carbon Footprint,0,1,1
Raw Material Sourcing,4,9,9
Toxic Emissions and Waste,0,2,2
Water Stress,4,29,29
Accounting,1,0,1
Board,0,0,0
Business Ethics,33,35,35
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,4,0,4
Access to Communications,1,0,1
Access to Finance,3,0,3
Access to Health Care,0,0,0
Chemical Safety,2,2,2
Community Relations,90,89,90
Controversial Sourcing,0,0,0
Financial Product Safety,2,0,2
Health and Demographic Risk,0,0,0
Health and Safety,28,93,93
Human Capital Development,19,37,37
Labor Management,158,220,220
Opportunities in Nutrition and Health,3,0,3
Privacy and Data Security,14,31,31
Product Safety and Quality,19,109,109
Responsible Investment,5,0,5
Supply Chain Labor Standards,36,61,61
Not ESG,1150,89,1150
