,2020-CRH-Annual,2020-CRH-Sustainability,max
Biodiversity and Land Use,170,330,330
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,17,1,17
Opportunities in Clean Tech,2,0,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,6,6
Packaging Material and Waste,264,233,264
Product Carbon Footprint,1,1,1
Raw Material Sourcing,7,2,7
Toxic Emissions and Waste,0,0,0
Water Stress,66,120,120
Accounting,0,0,0
Board,0,0,0
Business Ethics,111,73,111
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,5,1,5
Access to Communications,0,0,0
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,5,0,5
Community Relations,171,117,171
Controversial Sourcing,0,1,1
Financial Product Safety,3,1,3
Health and Demographic Risk,1,0,1
Health and Safety,154,141,154
Human Capital Development,108,56,108
Labor Management,259,131,259
Opportunities in Nutrition and Health,6,1,6
Privacy and Data Security,54,34,54
Product Safety and Quality,84,81,84
Responsible Investment,3,0,3
Supply Chain Labor Standards,157,92,157
Not ESG,2078,157,2078
