,2020-CRÉDIT AGRICOLE-Annual,max
Biodiversity and Land Use,4,4
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,2,2
Financing Environmental Impact,26,26
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,0,0
Product Carbon Footprint,1,1
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,0,0
Accounting,0,0
Board,0,0
Business Ethics,26,26
Ownership and Control,3,3
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,4,4
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,5,5
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,12,12
Human Capital Development,8,8
Labor Management,60,60
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,14,14
Product Safety and Quality,24,24
Responsible Investment,1,1
Supply Chain Labor Standards,13,13
Not ESG,356,356
