,2020-CVS HEALTH-Annual,2020-CVS HEALTH-CSR,2020-CVS HEALTH-10K,max
Biodiversity and Land Use,9,74,9,74
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,2,1,2,2
Financing Environmental Impact,13,1,13,13
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,1,0,1
Packaging Material and Waste,11,93,11,93
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,1,2,1,2
Toxic Emissions and Waste,0,1,0,1
Water Stress,2,24,2,24
Accounting,3,0,3,3
Board,0,0,0,0
Business Ethics,123,15,123,123
Ownership and Control,1,0,1,1
Pay,0,0,0,0
Tax Transparency,7,2,7,7
Access to Communications,3,0,3,3
Access to Finance,8,0,8,8
Access to Health Care,6,1,6,6
Chemical Safety,3,0,3,3
Community Relations,293,320,293,320
Controversial Sourcing,0,1,0,1
Financial Product Safety,4,0,4,4
Health and Demographic Risk,6,4,6,6
Health and Safety,551,480,551,551
Human Capital Development,242,219,242,242
Labor Management,147,52,147,147
Opportunities in Nutrition and Health,46,15,46,46
Privacy and Data Security,110,28,110,110
Product Safety and Quality,83,38,83,83
Responsible Investment,0,0,0,0
Supply Chain Labor Standards,195,62,195,195
Not ESG,1192,93,1192,1192
