,2020-DAIWA HOUSE INDUSTRY-Annual,max
Biodiversity and Land Use,49,49
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,10,10
Financing Environmental Impact,4,4
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,15,15
Packaging Material and Waste,18,18
Product Carbon Footprint,0,0
Raw Material Sourcing,9,9
Toxic Emissions and Waste,1,1
Water Stress,15,15
Accounting,1,1
Board,0,0
Business Ethics,41,41
Ownership and Control,1,1
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,92,92
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,46,46
Human Capital Development,29,29
Labor Management,245,245
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,6,6
Product Safety and Quality,60,60
Responsible Investment,6,6
Supply Chain Labor Standards,55,55
Not ESG,242,242
