,2020-DEERE-Annual,2020-DEERE-Sustainability,max
Biodiversity and Land Use,59,137,137
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,47,2,47
Financing Environmental Impact,27,0,27
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,2,0,2
Opportunities in Renewable Energy,0,2,2
Packaging Material and Waste,25,73,73
Product Carbon Footprint,2,0,2
Raw Material Sourcing,17,6,17
Toxic Emissions and Waste,0,2,2
Water Stress,1,30,30
Accounting,5,0,5
Board,0,0,0
Business Ethics,14,26,26
Ownership and Control,3,0,3
Pay,0,1,1
Tax Transparency,19,0,19
Access to Communications,0,0,0
Access to Finance,4,0,4
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,87,108,108
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,1,0,1
Health and Safety,13,47,47
Human Capital Development,29,107,107
Labor Management,155,69,155
Opportunities in Nutrition and Health,52,3,52
Privacy and Data Security,16,25,25
Product Safety and Quality,40,81,81
Responsible Investment,0,0,0
Supply Chain Labor Standards,83,102,102
Not ESG,892,85,892
