,2020-DELTA AIR LINES-ESG,2020-DELTA AIR LINES-10K,max
Biodiversity and Land Use,135,54,135
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,0,9,9
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,1,2
Packaging Material and Waste,68,42,68
Product Carbon Footprint,2,0,2
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,18,36,36
Accounting,0,0,0
Board,0,1,1
Business Ethics,16,54,54
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,151,151
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,42,134,134
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,73,44,73
Human Capital Development,54,96,96
Labor Management,32,57,57
Opportunities in Nutrition and Health,0,2,2
Privacy and Data Security,18,53,53
Product Safety and Quality,22,63,63
Responsible Investment,0,2,2
Supply Chain Labor Standards,23,95,95
Not ESG,115,1241,1241
