,2020-DENSO-Annual,max
Biodiversity and Land Use,86,86
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,6,6
Financing Environmental Impact,5,5
Opportunities in Clean Tech,2,2
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,7,7
Packaging Material and Waste,54,54
Product Carbon Footprint,1,1
Raw Material Sourcing,5,5
Toxic Emissions and Waste,2,2
Water Stress,29,29
Accounting,0,0
Board,0,0
Business Ethics,41,41
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,53,53
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,40,40
Human Capital Development,24,24
Labor Management,222,222
Opportunities in Nutrition and Health,6,6
Privacy and Data Security,20,20
Product Safety and Quality,198,198
Responsible Investment,3,3
Supply Chain Labor Standards,78,78
Not ESG,316,316
