,2020-DEUTSCHE BANK-Annual,max
Biodiversity and Land Use,74,74
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,3,3
Financing Environmental Impact,76,76
Opportunities in Clean Tech,3,3
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,13,13
Product Carbon Footprint,0,0
Raw Material Sourcing,3,3
Toxic Emissions and Waste,0,0
Water Stress,26,26
Accounting,4,4
Board,2,2
Business Ethics,207,207
Ownership and Control,39,39
Pay,0,0
Tax Transparency,18,18
Access to Communications,3,3
Access to Finance,11,11
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,196,196
Controversial Sourcing,4,4
Financial Product Safety,2,2
Health and Demographic Risk,11,11
Health and Safety,295,295
Human Capital Development,152,152
Labor Management,445,445
Opportunities in Nutrition and Health,15,15
Privacy and Data Security,147,147
Product Safety and Quality,181,181
Responsible Investment,9,9
Supply Chain Labor Standards,225,225
Not ESG,5015,5015
