,2020-DEUTSCHE POST DHL GROUP-ESG,2020-DEUTSCHE POST DHL GROUP-Annual,max
Biodiversity and Land Use,14,67,67
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,7,7
Financing Environmental Impact,0,18,18
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,8,41,41
Product Carbon Footprint,1,0,1
Raw Material Sourcing,0,5,5
Toxic Emissions and Waste,0,0,0
Water Stress,7,22,22
Accounting,0,2,2
Board,0,0,0
Business Ethics,23,62,62
Ownership and Control,0,3,3
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,16,81,81
Controversial Sourcing,0,0,0
Financial Product Safety,0,4,4
Health and Demographic Risk,0,2,2
Health and Safety,16,91,91
Human Capital Development,15,97,97
Labor Management,35,219,219
Opportunities in Nutrition and Health,0,10,10
Privacy and Data Security,8,49,49
Product Safety and Quality,13,91,91
Responsible Investment,0,0,0
Supply Chain Labor Standards,15,104,104
Not ESG,33,1835,1835
