,2020-DEUTSCHE TELEKOM-CSR,2020-DEUTSCHE TELEKOM-Annual,max
Biodiversity and Land Use,264,136,264
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,3,3
Financing Environmental Impact,0,8,8
Opportunities in Clean Tech,0,3,3
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,11,1,11
Packaging Material and Waste,147,48,147
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,3,3
Toxic Emissions and Waste,1,0,1
Water Stress,117,67,117
Accounting,0,5,5
Board,0,1,1
Business Ethics,94,94,94
Ownership and Control,0,3,3
Pay,0,0,0
Tax Transparency,5,8,8
Access to Communications,4,2,4
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,143,177,177
Controversial Sourcing,0,1,1
Financial Product Safety,0,2,2
Health and Demographic Risk,0,1,1
Health and Safety,105,135,135
Human Capital Development,110,115,115
Labor Management,333,344,344
Opportunities in Nutrition and Health,0,8,8
Privacy and Data Security,227,435,435
Product Safety and Quality,156,217,217
Responsible Investment,1,2,2
Supply Chain Labor Standards,147,198,198
Not ESG,772,4163,4163
