,2020-DOLLAR GENERAL-10K,2020-DOLLAR GENERAL-Annual,max
Biodiversity and Land Use,17,12,17
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,4,11,11
Financing Environmental Impact,4,14,14
Opportunities in Clean Tech,3,2,3
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,42,29,42
Product Carbon Footprint,0,0,0
Raw Material Sourcing,3,18,18
Toxic Emissions and Waste,0,1,1
Water Stress,3,3,3
Accounting,13,18,18
Board,4,4,4
Business Ethics,74,91,91
Ownership and Control,4,11,11
Pay,1,0,1
Tax Transparency,4,21,21
Access to Communications,2,1,2
Access to Finance,7,15,15
Access to Health Care,0,0,0
Chemical Safety,3,13,13
Community Relations,106,121,121
Controversial Sourcing,0,4,4
Financial Product Safety,2,8,8
Health and Demographic Risk,4,4,4
Health and Safety,26,53,53
Human Capital Development,91,219,219
Labor Management,104,253,253
Opportunities in Nutrition and Health,5,24,24
Privacy and Data Security,48,58,58
Product Safety and Quality,50,57,57
Responsible Investment,5,5,5
Supply Chain Labor Standards,189,178,189
Not ESG,916,1320,1320
