,2020-DONGFENG MOTOR-Annual,2020-DONGFENG MOTOR-ESG,max
Biodiversity and Land Use,14,48,48
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,6,6
Financing Environmental Impact,5,0,5
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,4,4
Packaging Material and Waste,9,49,49
Product Carbon Footprint,0,0,0
Raw Material Sourcing,5,3,5
Toxic Emissions and Waste,0,2,2
Water Stress,3,35,35
Accounting,0,0,0
Board,0,0,0
Business Ethics,26,16,26
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,31,27,31
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,27,93,93
Human Capital Development,10,14,14
Labor Management,117,113,117
Opportunities in Nutrition and Health,0,1,1
Privacy and Data Security,10,14,14
Product Safety and Quality,88,142,142
Responsible Investment,0,0,0
Supply Chain Labor Standards,29,40,40
Not ESG,980,159,980
