,2020-DUPONT-10K,max
Biodiversity and Land Use,54,54
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,5,5
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,68,68
Product Carbon Footprint,0,0
Raw Material Sourcing,5,5
Toxic Emissions and Waste,3,3
Water Stress,30,30
Accounting,1,1
Board,0,0
Business Ethics,42,42
Ownership and Control,1,1
Pay,0,0
Tax Transparency,11,11
Access to Communications,0,0
Access to Finance,3,3
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,109,109
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,52,52
Human Capital Development,102,102
Labor Management,108,108
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,47,47
Product Safety and Quality,66,66
Responsible Investment,3,3
Supply Chain Labor Standards,146,146
Not ESG,1321,1321
