,2020-EAST JAPAN RAILWAY-Annual,max
Biodiversity and Land Use,66,66
Carbon Emissions,0,0
Climate Change Vulnerability,2,2
Electronic Waste,7,7
Financing Environmental Impact,0,0
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,37,37
Product Carbon Footprint,1,1
Raw Material Sourcing,6,6
Toxic Emissions and Waste,2,2
Water Stress,54,54
Accounting,0,0
Board,0,0
Business Ethics,14,14
Ownership and Control,1,1
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,1,1
Chemical Safety,0,0
Community Relations,69,69
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,2,2
Health and Safety,146,146
Human Capital Development,19,19
Labor Management,141,141
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,28,28
Product Safety and Quality,82,82
Responsible Investment,0,0
Supply Chain Labor Standards,27,27
Not ESG,364,364
