,2020-ELECTRICITÉ DE FRANCE-Sustainability,max
Biodiversity and Land Use,57,57
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,6,6
Packaging Material and Waste,23,23
Product Carbon Footprint,1,1
Raw Material Sourcing,0,0
Toxic Emissions and Waste,1,1
Water Stress,19,19
Accounting,0,0
Board,0,0
Business Ethics,2,2
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,5,5
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,0,0
Human Capital Development,1,1
Labor Management,10,10
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,1,1
Product Safety and Quality,2,2
Responsible Investment,0,0
Supply Chain Labor Standards,3,3
Not ESG,51,51
