,2020-ENEL-Sustainability,max
Biodiversity and Land Use,453,453
Carbon Emissions,4,4
Climate Change Vulnerability,3,3
Electronic Waste,12,12
Financing Environmental Impact,11,11
Opportunities in Clean Tech,20,20
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,100,100
Packaging Material and Waste,143,143
Product Carbon Footprint,1,1
Raw Material Sourcing,20,20
Toxic Emissions and Waste,12,12
Water Stress,460,460
Accounting,0,0
Board,0,0
Business Ethics,86,86
Ownership and Control,2,2
Pay,0,0
Tax Transparency,19,19
Access to Communications,2,2
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,182,182
Controversial Sourcing,0,0
Financial Product Safety,4,4
Health and Demographic Risk,7,7
Health and Safety,194,194
Human Capital Development,54,54
Labor Management,380,380
Opportunities in Nutrition and Health,10,10
Privacy and Data Security,159,159
Product Safety and Quality,168,168
Responsible Investment,3,3
Supply Chain Labor Standards,180,180
Not ESG,1317,1317
