,2020-ENGIE-Sustainability,2020-ENGIE-Annual,max
Biodiversity and Land Use,24,22,24
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,7,7
Financing Environmental Impact,0,5,5
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,6,12,12
Packaging Material and Waste,13,21,21
Product Carbon Footprint,0,4,4
Raw Material Sourcing,0,7,7
Toxic Emissions and Waste,0,1,1
Water Stress,57,116,116
Accounting,0,2,2
Board,0,0,0
Business Ethics,0,7,7
Ownership and Control,0,3,3
Pay,0,0,0
Tax Transparency,0,5,5
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,4,4
Community Relations,21,38,38
Controversial Sourcing,0,0,0
Financial Product Safety,0,2,2
Health and Demographic Risk,0,0,0
Health and Safety,5,12,12
Human Capital Development,26,22,26
Labor Management,17,117,117
Opportunities in Nutrition and Health,0,7,7
Privacy and Data Security,1,1,1
Product Safety and Quality,2,21,21
Responsible Investment,0,1,1
Supply Chain Labor Standards,16,46,46
Not ESG,19,1312,1312
