,2020-EQUINOR-Annual,2020-EQUINOR-Sustainability,max
Biodiversity and Land Use,278,233,278
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,16,1,16
Financing Environmental Impact,62,1,62
Opportunities in Clean Tech,17,1,17
Opportunities in Green Building,3,0,3
Opportunities in Renewable Energy,69,13,69
Packaging Material and Waste,61,44,61
Product Carbon Footprint,14,3,14
Raw Material Sourcing,23,2,23
Toxic Emissions and Waste,10,2,10
Water Stress,434,184,434
Accounting,5,0,5
Board,0,0,0
Business Ethics,93,52,93
Ownership and Control,6,0,6
Pay,0,0,0
Tax Transparency,32,1,32
Access to Communications,0,0,0
Access to Finance,7,0,7
Access to Health Care,0,0,0
Chemical Safety,9,0,9
Community Relations,83,82,83
Controversial Sourcing,2,0,2
Financial Product Safety,10,0,10
Health and Demographic Risk,1,0,1
Health and Safety,106,66,106
Human Capital Development,89,36,89
Labor Management,311,43,311
Opportunities in Nutrition and Health,10,0,10
Privacy and Data Security,54,14,54
Product Safety and Quality,70,27,70
Responsible Investment,9,0,9
Supply Chain Labor Standards,112,48,112
Not ESG,2153,190,2153
