,2020-EXELON-10K,2020-EXELON-ESG,2020-EXELON-CSR,max
Biodiversity and Land Use,90,1,253,253
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,6,0,1,6
Financing Environmental Impact,21,0,0,21
Opportunities in Clean Tech,8,0,4,8
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,18,4,26,26
Packaging Material and Waste,39,1,65,65
Product Carbon Footprint,0,0,2,2
Raw Material Sourcing,1,0,0,1
Toxic Emissions and Waste,0,0,1,1
Water Stress,451,6,414,451
Accounting,6,0,0,6
Board,0,0,0,0
Business Ethics,57,2,51,57
Ownership and Control,1,0,0,1
Pay,0,0,0,0
Tax Transparency,494,0,2,494
Access to Communications,0,0,1,1
Access to Finance,3,0,0,3
Access to Health Care,0,0,1,1
Chemical Safety,4,0,1,4
Community Relations,223,5,187,223
Controversial Sourcing,4,0,0,4
Financial Product Safety,1,0,0,1
Health and Demographic Risk,1,0,0,1
Health and Safety,43,1,122,122
Human Capital Development,71,7,121,121
Labor Management,84,2,62,84
Opportunities in Nutrition and Health,10,1,1,10
Privacy and Data Security,49,1,47,49
Product Safety and Quality,30,0,57,57
Responsible Investment,4,0,0,4
Supply Chain Labor Standards,87,5,87,87
Not ESG,2924,10,284,2924
