,2020-EXOR GROUP-Sustainability,2020-EXOR GROUP-Annual,max
Biodiversity and Land Use,57,90,90
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,12,12
Financing Environmental Impact,0,21,21
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,4,21,21
Product Carbon Footprint,0,1,1
Raw Material Sourcing,1,6,6
Toxic Emissions and Waste,0,0,0
Water Stress,4,10,10
Accounting,0,2,2
Board,0,1,1
Business Ethics,41,87,87
Ownership and Control,0,8,8
Pay,0,0,0
Tax Transparency,0,8,8
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,2,2
Community Relations,31,139,139
Controversial Sourcing,1,4,4
Financial Product Safety,0,1,1
Health and Demographic Risk,1,2,2
Health and Safety,18,92,92
Human Capital Development,17,60,60
Labor Management,54,288,288
Opportunities in Nutrition and Health,1,6,6
Privacy and Data Security,12,33,33
Product Safety and Quality,19,135,135
Responsible Investment,0,2,2
Supply Chain Labor Standards,35,139,139
Not ESG,63,2457,2457
