,2020-EXXON MOBIL-Annual,2020-EXXON MOBIL-10K,max
Biodiversity and Land Use,185,150,185
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,1,3
Financing Environmental Impact,2,4,4
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,13,6,13
Packaging Material and Waste,75,50,75
Product Carbon Footprint,0,2,2
Raw Material Sourcing,4,0,4
Toxic Emissions and Waste,5,4,5
Water Stress,293,255,293
Accounting,0,1,1
Board,0,0,0
Business Ethics,25,27,27
Ownership and Control,3,2,3
Pay,0,0,0
Tax Transparency,4,4,4
Access to Communications,0,0,0
Access to Finance,2,2,2
Access to Health Care,0,0,0
Chemical Safety,3,2,3
Community Relations,73,75,75
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,9,8,9
Human Capital Development,24,29,29
Labor Management,68,53,68
Opportunities in Nutrition and Health,9,4,9
Privacy and Data Security,21,21,21
Product Safety and Quality,23,17,23
Responsible Investment,4,2,4
Supply Chain Labor Standards,67,63,67
Not ESG,797,768,797
