,2020-FEDEX-ESG,2020-FEDEX-Annual,2020-FEDEX-10K,max
Biodiversity and Land Use,79,36,37,79
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,6,1,6
Financing Environmental Impact,0,14,7,14
Opportunities in Clean Tech,0,3,1,3
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,0,0,1
Packaging Material and Waste,128,52,51,128
Product Carbon Footprint,2,0,0,2
Raw Material Sourcing,6,5,2,6
Toxic Emissions and Waste,4,0,0,4
Water Stress,34,11,10,34
Accounting,0,6,0,6
Board,0,1,0,1
Business Ethics,44,105,134,134
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,3,26,189,189
Access to Communications,1,1,0,1
Access to Finance,0,4,2,4
Access to Health Care,0,0,0,0
Chemical Safety,0,0,1,1
Community Relations,103,103,102,103
Controversial Sourcing,1,2,0,2
Financial Product Safety,0,1,0,1
Health and Demographic Risk,0,2,1,2
Health and Safety,64,46,51,64
Human Capital Development,123,106,109,123
Labor Management,42,87,82,87
Opportunities in Nutrition and Health,3,10,8,10
Privacy and Data Security,54,108,109,109
Product Safety and Quality,89,68,70,89
Responsible Investment,0,6,1,6
Supply Chain Labor Standards,83,133,132,133
Not ESG,234,1689,1988,1988
