,2020-FOMENTO ECONÓMICO MEXICANO-Sustainability,max
Biodiversity and Land Use,79,79
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,1,1
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,78,78
Product Carbon Footprint,2,2
Raw Material Sourcing,1,1
Toxic Emissions and Waste,1,1
Water Stress,53,53
Accounting,0,0
Board,0,0
Business Ethics,23,23
Ownership and Control,0,0
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,62,62
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,37,37
Human Capital Development,24,24
Labor Management,50,50
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,8,8
Product Safety and Quality,18,18
Responsible Investment,1,1
Supply Chain Labor Standards,41,41
Not ESG,49,49
