,2020-FORD MOTOR-10K,2020-FORD MOTOR-Sustainability,max
Biodiversity and Land Use,31,107,107
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,4,0,4
Financing Environmental Impact,13,0,13
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,2,2
Packaging Material and Waste,70,162,162
Product Carbon Footprint,0,6,6
Raw Material Sourcing,10,2,10
Toxic Emissions and Waste,0,1,1
Water Stress,13,68,68
Accounting,0,0,0
Board,1,0,1
Business Ethics,49,56,56
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,10,0,10
Access to Communications,0,0,0
Access to Finance,4,0,4
Access to Health Care,0,0,0
Chemical Safety,4,0,4
Community Relations,92,150,150
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,29,48,48
Human Capital Development,72,68,72
Labor Management,85,79,85
Opportunities in Nutrition and Health,8,1,8
Privacy and Data Security,31,30,31
Product Safety and Quality,150,125,150
Responsible Investment,1,0,1
Supply Chain Labor Standards,178,97,178
Not ESG,1463,133,1463
