,2020-FORMOSA PETROCHEMICAL-Annual,2020-FORMOSA PETROCHEMICAL-CSR,max
Biodiversity and Land Use,37,137,137
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,1,2
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,3,3
Packaging Material and Waste,123,63,123
Product Carbon Footprint,0,0,0
Raw Material Sourcing,11,1,11
Toxic Emissions and Waste,1,2,2
Water Stress,34,94,94
Accounting,0,0,0
Board,0,0,0
Business Ethics,2,32,32
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,1,1,1
Community Relations,20,34,34
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,2,2
Health and Safety,57,116,116
Human Capital Development,47,33,47
Labor Management,104,125,125
Opportunities in Nutrition and Health,1,3,3
Privacy and Data Security,4,15,15
Product Safety and Quality,60,89,89
Responsible Investment,0,0,0
Supply Chain Labor Standards,35,40,40
Not ESG,226,135,226
