,2020-FRESENIUS-Annual,max
Biodiversity and Land Use,124,124
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,9,9
Financing Environmental Impact,25,25
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,89,89
Product Carbon Footprint,0,0
Raw Material Sourcing,7,7
Toxic Emissions and Waste,0,0
Water Stress,83,83
Accounting,3,3
Board,0,0
Business Ethics,182,182
Ownership and Control,3,3
Pay,0,0
Tax Transparency,7,7
Access to Communications,7,7
Access to Finance,4,4
Access to Health Care,2,2
Chemical Safety,7,7
Community Relations,182,182
Controversial Sourcing,2,2
Financial Product Safety,2,2
Health and Demographic Risk,15,15
Health and Safety,1097,1097
Human Capital Development,179,179
Labor Management,464,464
Opportunities in Nutrition and Health,13,13
Privacy and Data Security,266,266
Product Safety and Quality,419,419
Responsible Investment,2,2
Supply Chain Labor Standards,159,159
Not ESG,2478,2478
