,2020-FUBON FINANCIAL HOLDING-Annual,2020-FUBON FINANCIAL HOLDING-CSR,max
Biodiversity and Land Use,1,156,156
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,1,3,3
Financing Environmental Impact,10,13,13
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,6,6
Packaging Material and Waste,0,32,32
Product Carbon Footprint,0,0,0
Raw Material Sourcing,6,0,6
Toxic Emissions and Waste,1,3,3
Water Stress,0,30,30
Accounting,0,0,0
Board,0,0,0
Business Ethics,0,83,83
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,4,4
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,0,123,123
Controversial Sourcing,0,1,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,1,1
Health and Safety,0,169,169
Human Capital Development,1,76,76
Labor Management,4,329,329
Opportunities in Nutrition and Health,1,2,2
Privacy and Data Security,0,108,108
Product Safety and Quality,0,98,98
Responsible Investment,2,1,2
Supply Chain Labor Standards,0,92,92
Not ESG,13,389,389
