,2020-GENERAL ELECTRIC-Sustainability,2020-GENERAL ELECTRIC-Annual,max
Biodiversity and Land Use,137,31,137
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,3,3
Financing Environmental Impact,0,6,6
Opportunities in Clean Tech,3,2,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,27,7,27
Packaging Material and Waste,91,28,91
Product Carbon Footprint,5,1,5
Raw Material Sourcing,4,1,4
Toxic Emissions and Waste,0,0,0
Water Stress,164,79,164
Accounting,0,3,3
Board,0,0,0
Business Ethics,65,58,65
Ownership and Control,0,0,0
Pay,1,0,1
Tax Transparency,0,8,8
Access to Communications,0,0,0
Access to Finance,0,6,6
Access to Health Care,2,2,2
Chemical Safety,0,0,0
Community Relations,139,101,139
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,2,2,2
Health and Safety,175,100,175
Human Capital Development,123,92,123
Labor Management,41,85,85
Opportunities in Nutrition and Health,3,11,11
Privacy and Data Security,58,47,58
Product Safety and Quality,49,92,92
Responsible Investment,0,0,0
Supply Chain Labor Standards,68,115,115
Not ESG,240,1427,1427
