,2020-GENERAL MOTORS-10K,2020-GENERAL MOTORS-Sustainability,max
Biodiversity and Land Use,42,248,248
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,1,2
Financing Environmental Impact,6,0,6
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,8,8
Packaging Material and Waste,72,225,225
Product Carbon Footprint,0,1,1
Raw Material Sourcing,7,3,7
Toxic Emissions and Waste,0,0,0
Water Stress,20,168,168
Accounting,4,0,4
Board,0,0,0
Business Ethics,59,103,103
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,5,0,5
Access to Communications,1,1,1
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,67,180,180
Controversial Sourcing,0,0,0
Financial Product Safety,1,1,1
Health and Demographic Risk,2,7,7
Health and Safety,34,170,170
Human Capital Development,86,209,209
Labor Management,83,165,165
Opportunities in Nutrition and Health,18,18,18
Privacy and Data Security,54,79,79
Product Safety and Quality,144,261,261
Responsible Investment,1,0,1
Supply Chain Labor Standards,150,220,220
Not ESG,1179,409,1179
