,2020-GEORGE WESTON-ESG,2020-GEORGE WESTON-Annual,max
Biodiversity and Land Use,17,17,17
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,3,3
Financing Environmental Impact,0,13,13
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,21,13,21
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,2,2
Toxic Emissions and Waste,0,0,0
Water Stress,9,5,9
Accounting,0,2,2
Board,0,0,0
Business Ethics,7,35,35
Ownership and Control,0,5,5
Pay,0,0,0
Tax Transparency,0,7,7
Access to Communications,0,2,2
Access to Finance,0,6,6
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,20,218,218
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,1,1
Health and Safety,1,42,42
Human Capital Development,4,77,77
Labor Management,4,129,129
Opportunities in Nutrition and Health,0,16,16
Privacy and Data Security,3,42,42
Product Safety and Quality,5,39,39
Responsible Investment,0,0,0
Supply Chain Labor Standards,36,237,237
Not ESG,3,1348,1348
