,2020-GLAXOSMITHKLINE-Annual,2020-GLAXOSMITHKLINE-ESG,max
Biodiversity and Land Use,127,16,127
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,11,2,11
Financing Environmental Impact,15,0,15
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,1,3
Packaging Material and Waste,64,20,64
Product Carbon Footprint,0,0,0
Raw Material Sourcing,6,1,6
Toxic Emissions and Waste,1,0,1
Water Stress,35,25,35
Accounting,1,0,1
Board,0,0,0
Business Ethics,187,14,187
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,5,1,5
Access to Communications,0,0,0
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,16,0,16
Community Relations,196,9,196
Controversial Sourcing,3,1,3
Financial Product Safety,3,0,3
Health and Demographic Risk,11,2,11
Health and Safety,677,19,677
Human Capital Development,191,4,191
Labor Management,391,19,391
Opportunities in Nutrition and Health,34,1,34
Privacy and Data Security,137,3,137
Product Safety and Quality,255,10,255
Responsible Investment,0,0,0
Supply Chain Labor Standards,177,5,177
Not ESG,2305,30,2305
