,2020-GLENCORE-Annual,2020-GLENCORE-Sustainability,max
Biodiversity and Land Use,242,285,285
Carbon Emissions,1,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,21,1,21
Financing Environmental Impact,22,0,22
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,6,8,8
Packaging Material and Waste,102,62,102
Product Carbon Footprint,5,4,5
Raw Material Sourcing,20,1,20
Toxic Emissions and Waste,2,4,4
Water Stress,190,198,198
Accounting,5,0,5
Board,0,0,0
Business Ethics,196,66,196
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,8,3,8
Access to Communications,0,0,0
Access to Finance,6,0,6
Access to Health Care,0,0,0
Chemical Safety,9,2,9
Community Relations,233,235,235
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,1,0,1
Health and Safety,167,157,167
Human Capital Development,111,34,111
Labor Management,216,65,216
Opportunities in Nutrition and Health,4,3,4
Privacy and Data Security,63,21,63
Product Safety and Quality,81,48,81
Responsible Investment,3,0,3
Supply Chain Labor Standards,177,86,177
Not ESG,1674,264,1674
