,2020-GOLDMAN SACHS-Sustainability,2020-GOLDMAN SACHS-Annual,2020-GOLDMAN SACHS-10K,max
Biodiversity and Land Use,175,28,11,175
Carbon Emissions,0,1,0,1
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,2,6,6
Financing Environmental Impact,1,27,31,31
Opportunities in Clean Tech,1,0,4,4
Opportunities in Green Building,0,1,0,1
Opportunities in Renewable Energy,9,1,2,9
Packaging Material and Waste,28,20,8,28
Product Carbon Footprint,0,0,1,1
Raw Material Sourcing,0,0,1,1
Toxic Emissions and Waste,0,0,0,0
Water Stress,69,21,4,69
Accounting,0,3,1,3
Board,0,1,1,1
Business Ethics,42,255,105,255
Ownership and Control,0,4,2,4
Pay,0,0,0,0
Tax Transparency,0,7,150,150
Access to Communications,0,1,1,1
Access to Finance,3,16,10,16
Access to Health Care,0,0,0,0
Chemical Safety,0,0,8,8
Community Relations,224,348,147,348
Controversial Sourcing,0,1,0,1
Financial Product Safety,0,1,3,3
Health and Demographic Risk,0,1,2,2
Health and Safety,45,147,29,147
Human Capital Development,198,128,49,198
Labor Management,76,143,99,143
Opportunities in Nutrition and Health,2,21,49,49
Privacy and Data Security,13,143,51,143
Product Safety and Quality,7,95,14,95
Responsible Investment,2,0,6,6
Supply Chain Labor Standards,81,313,146,313
Not ESG,120,2915,1679,2915
