,2020-GUANGZHOU AUTOMOBILE INDUSTRY GROUP-ESG,max
Biodiversity and Land Use,46,46
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,6,6
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,6,6
Packaging Material and Waste,55,55
Product Carbon Footprint,2,2
Raw Material Sourcing,7,7
Toxic Emissions and Waste,1,1
Water Stress,32,32
Accounting,0,0
Board,0,0
Business Ethics,36,36
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,47,47
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,64,64
Human Capital Development,20,20
Labor Management,186,186
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,35,35
Product Safety and Quality,207,207
Responsible Investment,0,0
Supply Chain Labor Standards,50,50
Not ESG,222,222
