,2020-HEINEKEN HOLDING-Annual,max
Biodiversity and Land Use,8,8
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,8,8
Financing Environmental Impact,4,4
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,38,38
Product Carbon Footprint,0,0
Raw Material Sourcing,5,5
Toxic Emissions and Waste,0,0
Water Stress,3,3
Accounting,3,3
Board,0,0
Business Ethics,27,27
Ownership and Control,6,6
Pay,0,0
Tax Transparency,8,8
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,15,15
Controversial Sourcing,1,1
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,19,19
Human Capital Development,16,16
Labor Management,82,82
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,6,6
Product Safety and Quality,47,47
Responsible Investment,1,1
Supply Chain Labor Standards,40,40
Not ESG,1071,1071
