,2020-HENAN ENERGY _ CHEMICAL-Annual,max
Biodiversity and Land Use,51,51
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,4,4
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,44,44
Product Carbon Footprint,0,0
Raw Material Sourcing,4,4
Toxic Emissions and Waste,2,2
Water Stress,49,49
Accounting,0,0
Board,0,0
Business Ethics,49,49
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,53,53
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,46,46
Human Capital Development,25,25
Labor Management,173,173
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,13,13
Product Safety and Quality,56,56
Responsible Investment,0,0
Supply Chain Labor Standards,35,35
Not ESG,1125,1125
