,2020-HITACHI-Sustainability,2020-HITACHI-Annual,max
Biodiversity and Land Use,250,73,250
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,4,4,4
Financing Environmental Impact,0,1,1
Opportunities in Clean Tech,3,1,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,13,8,13
Packaging Material and Waste,80,38,80
Product Carbon Footprint,0,1,1
Raw Material Sourcing,4,6,6
Toxic Emissions and Waste,6,2,6
Water Stress,89,33,89
Accounting,0,0,0
Board,0,0,0
Business Ethics,75,45,75
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,1,1
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,94,53,94
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,3,2,3
Health and Safety,107,77,107
Human Capital Development,84,42,84
Labor Management,310,256,310
Opportunities in Nutrition and Health,3,2,3
Privacy and Data Security,105,119,119
Product Safety and Quality,159,209,209
Responsible Investment,1,1,1
Supply Chain Labor Standards,88,109,109
Not ESG,230,323,323
