,2020-HOME DEPOT-Annual,2020-HOME DEPOT-ESG,2020-HOME DEPOT-10K,max
Biodiversity and Land Use,15,153,17,153
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,3,1,2,3
Financing Environmental Impact,3,0,1,3
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,6,0,6
Packaging Material and Waste,14,106,16,106
Product Carbon Footprint,1,0,1,1
Raw Material Sourcing,6,1,2,6
Toxic Emissions and Waste,0,1,0,1
Water Stress,6,77,6,77
Accounting,2,0,3,3
Board,2,0,1,2
Business Ethics,64,44,66,66
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,1,1,2,2
Access to Communications,0,0,0,0
Access to Finance,3,0,3,3
Access to Health Care,0,0,0,0
Chemical Safety,0,0,0,0
Community Relations,65,111,71,111
Controversial Sourcing,0,0,0,0
Financial Product Safety,1,0,2,2
Health and Demographic Risk,0,0,0,0
Health and Safety,26,45,24,45
Human Capital Development,92,136,83,136
Labor Management,67,41,72,72
Opportunities in Nutrition and Health,7,4,4,7
Privacy and Data Security,71,25,68,71
Product Safety and Quality,68,14,72,72
Responsible Investment,0,0,0,0
Supply Chain Labor Standards,206,84,214,214
Not ESG,589,67,593,593
