,2020-HONDA MOTOR-Sustainability,max
Biodiversity and Land Use,163,163
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,1,1
Opportunities in Clean Tech,5,5
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,118,118
Product Carbon Footprint,2,2
Raw Material Sourcing,3,3
Toxic Emissions and Waste,2,2
Water Stress,68,68
Accounting,0,0
Board,0,0
Business Ethics,61,61
Ownership and Control,0,0
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,63,63
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,98,98
Human Capital Development,98,98
Labor Management,209,209
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,37,37
Product Safety and Quality,397,397
Responsible Investment,1,1
Supply Chain Labor Standards,93,93
Not ESG,284,284
