,2020-HONEYWELL INTERNATIONAL-10K,2020-HONEYWELL INTERNATIONAL-CSR,2020-HONEYWELL INTERNATIONAL-Annual,max
Biodiversity and Land Use,35,71,40,71
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,1,2,2
Financing Environmental Impact,3,0,5,5
Opportunities in Clean Tech,0,0,1,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,5,0,5
Packaging Material and Waste,51,55,55,55
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,0,1,2,2
Toxic Emissions and Waste,0,0,1,1
Water Stress,4,29,4,29
Accounting,3,0,5,5
Board,0,0,0,0
Business Ethics,40,44,38,44
Ownership and Control,1,0,1,1
Pay,0,0,0,0
Tax Transparency,2,0,6,6
Access to Communications,2,0,1,2
Access to Finance,1,0,4,4
Access to Health Care,0,0,0,0
Chemical Safety,2,1,3,3
Community Relations,69,48,80,80
Controversial Sourcing,0,0,0,0
Financial Product Safety,4,0,4,4
Health and Demographic Risk,3,0,1,3
Health and Safety,72,47,77,77
Human Capital Development,71,44,70,71
Labor Management,75,14,81,81
Opportunities in Nutrition and Health,5,1,7,7
Privacy and Data Security,47,21,48,48
Product Safety and Quality,65,41,73,73
Responsible Investment,1,0,0,1
Supply Chain Labor Standards,109,44,108,109
Not ESG,917,38,765,917
