,2020-HSBC HOLDINGS-Annual,max
Biodiversity and Land Use,211,211
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,6,6
Financing Environmental Impact,89,89
Opportunities in Clean Tech,13,13
Opportunities in Green Building,2,2
Opportunities in Renewable Energy,12,12
Packaging Material and Waste,40,40
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,77,77
Accounting,6,6
Board,0,0
Business Ethics,377,377
Ownership and Control,8,8
Pay,0,0
Tax Transparency,23,23
Access to Communications,0,0
Access to Finance,10,10
Access to Health Care,0,0
Chemical Safety,6,6
Community Relations,376,376
Controversial Sourcing,4,4
Financial Product Safety,7,7
Health and Demographic Risk,2,2
Health and Safety,371,371
Human Capital Development,363,363
Labor Management,511,511
Opportunities in Nutrition and Health,23,23
Privacy and Data Security,246,246
Product Safety and Quality,277,277
Responsible Investment,4,4
Supply Chain Labor Standards,350,350
Not ESG,4066,4066
