,2020-HUMANA-10K,2020-HUMANA-Sustainability,max
Biodiversity and Land Use,8,72,72
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,5,5
Financing Environmental Impact,3,3,3
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,9,7,9
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,3,3
Toxic Emissions and Waste,0,0,0
Water Stress,7,7,7
Accounting,4,0,4
Board,0,1,1
Business Ethics,77,61,77
Ownership and Control,0,0,0
Pay,0,1,1
Tax Transparency,142,3,142
Access to Communications,1,0,1
Access to Finance,1,1,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,162,112,162
Controversial Sourcing,1,1,1
Financial Product Safety,0,0,0
Health and Demographic Risk,3,0,3
Health and Safety,262,200,262
Human Capital Development,169,115,169
Labor Management,75,393,393
Opportunities in Nutrition and Health,11,5,11
Privacy and Data Security,60,39,60
Product Safety and Quality,46,106,106
Responsible Investment,0,1,1
Supply Chain Labor Standards,73,90,90
Not ESG,849,773,849
