,2020-HYUNDAI MOBIS-Sustainability,max
Biodiversity and Land Use,90,90
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,104,104
Product Carbon Footprint,1,1
Raw Material Sourcing,0,0
Toxic Emissions and Waste,2,2
Water Stress,25,25
Accounting,0,0
Board,0,0
Business Ethics,41,41
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,79,79
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,88,88
Human Capital Development,54,54
Labor Management,261,261
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,39,39
Product Safety and Quality,269,269
Responsible Investment,0,0
Supply Chain Labor Standards,111,111
Not ESG,341,341
