,2020-IDEMITSU KOSAN-Sustainability,max
Biodiversity and Land Use,164,164
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,1,1
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,11,11
Packaging Material and Waste,116,116
Product Carbon Footprint,0,0
Raw Material Sourcing,6,6
Toxic Emissions and Waste,8,8
Water Stress,112,112
Accounting,0,0
Board,0,0
Business Ethics,69,69
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,80,80
Controversial Sourcing,2,2
Financial Product Safety,1,1
Health and Demographic Risk,1,1
Health and Safety,153,153
Human Capital Development,57,57
Labor Management,388,388
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,38,38
Product Safety and Quality,143,143
Responsible Investment,1,1
Supply Chain Labor Standards,60,60
Not ESG,293,293
