,2020-INDUSTRIAL _ COMMERCIAL BANK OF CHINA-CSR,2020-INDUSTRIAL _ COMMERCIAL BANK OF CHINA-Annual,max
Biodiversity and Land Use,40,16,40
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,8,8
Financing Environmental Impact,10,69,69
Opportunities in Clean Tech,0,3,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,10,3,10
Product Carbon Footprint,1,2,2
Raw Material Sourcing,0,2,2
Toxic Emissions and Waste,1,0,1
Water Stress,29,16,29
Accounting,0,3,3
Board,0,0,0
Business Ethics,31,89,89
Ownership and Control,0,4,4
Pay,0,0,0
Tax Transparency,0,7,7
Access to Communications,0,0,0
Access to Finance,1,11,11
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,97,141,141
Controversial Sourcing,0,2,2
Financial Product Safety,0,5,5
Health and Demographic Risk,1,1,1
Health and Safety,68,93,93
Human Capital Development,14,30,30
Labor Management,111,257,257
Opportunities in Nutrition and Health,3,8,8
Privacy and Data Security,25,68,68
Product Safety and Quality,36,72,72
Responsible Investment,0,0,0
Supply Chain Labor Standards,41,61,61
Not ESG,325,2317,2317
