,2020-ING GROUP-Annual,max
Biodiversity and Land Use,169,169
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,5,5
Financing Environmental Impact,78,78
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,18,18
Packaging Material and Waste,38,38
Product Carbon Footprint,2,2
Raw Material Sourcing,6,6
Toxic Emissions and Waste,1,1
Water Stress,80,80
Accounting,5,5
Board,2,2
Business Ethics,278,278
Ownership and Control,12,12
Pay,0,0
Tax Transparency,25,25
Access to Communications,2,2
Access to Finance,22,22
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,237,237
Controversial Sourcing,1,1
Financial Product Safety,4,4
Health and Demographic Risk,10,10
Health and Safety,276,276
Human Capital Development,179,179
Labor Management,540,540
Opportunities in Nutrition and Health,16,16
Privacy and Data Security,388,388
Product Safety and Quality,279,279
Responsible Investment,6,6
Supply Chain Labor Standards,284,284
Not ESG,3075,3075
